"FiscalYear","County","Department","FundType","RegionCode","RegionName","Program","Budget","ActualSpend","Beneficiaries"
2022,"Imperial","Health","General Fund","Region 10","San Diego & Imperial Counties","Medicaid",61.2,53.1,211288
2023,"Imperial","Health","General Fund","Region 10","San Diego & Imperial Counties","Public Health",183.6,191.1,209648
2024,"Imperial","Health","General Fund","Region 10","San Diego & Imperial Counties","Mental Health",165.6,162.5,472995
2020,"San Diego","Health","General Fund","Region 10","San Diego & Imperial Counties","Mental Health",182.4,156.8,498886
2021,"San Diego","Health","General Fund","Region 10","San Diego & Imperial Counties","Mental Health",192.2,205.3,84346
2022,"San Diego","Health","General Fund","Region 10","San Diego & Imperial Counties","Public Health",98.6,89.9,337451
2023,"San Diego","Health","General Fund","Region 10","San Diego & Imperial Counties","Mental Health",76.8,68.1,105169
2024,"San Diego","Health","General Fund","Region 10","San Diego & Imperial Counties","Public Health",72.5,81.2,284263
2020,"Butte","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",67.2,58.3,379095
2021,"Butte","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",120.7,132,320665
2022,"Butte","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",171.7,181.4,225836
2023,"Butte","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",180,181.6,491867
2024,"Butte","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",59.7,67.7,354900
2020,"Colusa","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",159.8,158.1,393801
2021,"Colusa","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",195.9,180.5,113006
2022,"Colusa","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",96.7,90.9,261459
2023,"Colusa","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",157.5,145.5,392910
2024,"Colusa","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",139.3,137.7,379458
2020,"El Dorado","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",56.5,51,335756
2021,"El Dorado","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",117.4,108.3,203389
2022,"El Dorado","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",145.8,164.7,337807
2023,"El Dorado","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",170.1,158.6,269512
2024,"El Dorado","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",131.3,121,168803
2020,"Glenn","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",182.3,207.5,184622
2021,"Glenn","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",51,46.4,119283
2022,"Glenn","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",117,127.3,468408
2023,"Glenn","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",122.5,111.9,394755
2024,"Glenn","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",169,194.1,72681
2020,"Lassen","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",91.8,85.7,391166
2021,"Lassen","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",138.6,151.8,267740
2022,"Lassen","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",78.1,72.8,356972
2023,"Lassen","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",171.1,167.3,260371
2024,"Lassen","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",139.2,148.7,436023
2020,"Modoc","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",90.9,94.8,463784
2021,"Modoc","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",170.4,176.5,52156
2022,"Modoc","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",140.7,144.6,210702
2023,"Modoc","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",193.7,204.3,291862
2024,"Modoc","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",76.8,86,233742
2020,"Nevada","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",50.6,47,184114
2021,"Nevada","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",105.8,101.6,335128
2022,"Nevada","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",165.7,178.9,173614
2023,"Nevada","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",136,155.4,364989
2024,"Nevada","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",75.6,64.3,296312
2020,"Placer","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",63.4,58.4,267048
2021,"Placer","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",181.4,201.6,281932
2022,"Placer","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",71.8,70.5,226866
2023,"Placer","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",145.3,148.8,144856
2024,"Placer","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",116.9,115.1,231569
2020,"Plumas","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",188.9,180,143496
2021,"Plumas","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",141.8,138.1,327920
2022,"Plumas","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",60.4,63.7,167201
2023,"Plumas","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",127.5,145.2,148301
2024,"Plumas","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",153.4,135.5,339003
2020,"Sacramento","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",122.7,113.8,473630
2021,"Sacramento","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",142.4,132.3,122232
2022,"Sacramento","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",121.9,129.8,113383
2023,"Sacramento","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",177.9,180.2,135758
2024,"Sacramento","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",90.1,77.9,91276
2020,"Shasta","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",111.3,96.6,318157
2021,"Shasta","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",169.9,151.4,131969
2022,"Shasta","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",181.1,180.2,232657
2023,"Shasta","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",130.8,142.4,373477
2024,"Shasta","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",99.2,98.8,399806
2020,"Sierra","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",136.7,122.5,413505
2021,"Sierra","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",100.1,96.8,168683
2022,"Sierra","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",73.8,74,187851
2023,"Sierra","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",126.5,111.2,340796
2024,"Sierra","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",55.5,50.3,409145
2020,"Siskiyou","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",71.4,79.5,377095
2021,"Siskiyou","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",75.8,72.5,208794
2022,"Siskiyou","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",98.6,85.8,154879
2023,"Siskiyou","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",103,92.2,297788
2024,"Siskiyou","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",180,156.8,486139
2020,"Sutter","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",103.5,102.8,149531
2021,"Sutter","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",192.6,179.9,320904
2022,"Sutter","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",122.4,123.9,141913
2023,"Sutter","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",180.1,203.8,297944
2024,"Sutter","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",97.6,93.3,423098
2020,"Tehama","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",100.3,101.6,102906
2021,"Tehama","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",74.2,63.6,401114
2022,"Tehama","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",143.7,148.1,385961
2023,"Tehama","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",77.5,73.6,100459
2024,"Tehama","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",130.9,127.5,379895
2020,"Yolo","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",79.4,68,192773
2021,"Yolo","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",65.6,67.7,132300
2022,"Yolo","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",99.5,91.1,434232
2023,"Yolo","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",140.2,150.2,470561
2024,"Yolo","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",153.6,160.9,179914
2020,"Yuba","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",80.7,87,401570
2021,"Yuba","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",112.3,104.9,246945
2022,"Yuba","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","K-12",71.7,80.6,126735
2023,"Yuba","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Higher Ed",81.1,71.8,333294
2024,"Yuba","Education","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Adult Education",164.9,151,477922
2020,"Del Norte","Education","General Fund","Region 2","North Coast","K-12",122.2,132.3,386371
2021,"Del Norte","Education","General Fund","Region 2","North Coast","K-12",85.9,84.3,347695
2022,"Del Norte","Education","General Fund","Region 2","North Coast","Adult Education",169.5,147.8,158200
2023,"Del Norte","Education","General Fund","Region 2","North Coast","Higher Ed",116.4,122,273077
2024,"Del Norte","Education","General Fund","Region 2","North Coast","Adult Education",75.5,67.8,363933
2020,"Humboldt","Education","General Fund","Region 2","North Coast","Higher Ed",74.8,81.4,166662
2021,"Humboldt","Education","General Fund","Region 2","North Coast","Higher Ed",195.3,203.1,209395
2022,"Humboldt","Education","General Fund","Region 2","North Coast","Higher Ed",128.3,123.3,277079
2023,"Humboldt","Education","General Fund","Region 2","North Coast","K-12",128.4,110.3,188235
2024,"Humboldt","Education","General Fund","Region 2","North Coast","Higher Ed",153.3,164.4,276572
2020,"Lake","Education","General Fund","Region 2","North Coast","K-12",168.2,179.4,436575
2021,"Lake","Education","General Fund","Region 2","North Coast","K-12",153.9,144.3,426255
2022,"Lake","Education","General Fund","Region 2","North Coast","K-12",181.9,188.1,148778
2023,"Lake","Education","General Fund","Region 2","North Coast","Higher Ed",71.2,68.3,402445
2024,"Lake","Education","General Fund","Region 2","North Coast","Higher Ed",89.8,97.1,414143
2020,"Mendocino","Education","General Fund","Region 2","North Coast","Adult Education",184.4,203.4,81279
2021,"Mendocino","Education","General Fund","Region 2","North Coast","Adult Education",103.1,113.7,454090
2022,"Mendocino","Education","General Fund","Region 2","North Coast","K-12",189.8,163,407365
2023,"Mendocino","Education","General Fund","Region 2","North Coast","Higher Ed",99.1,87.1,190272
2024,"Mendocino","Education","General Fund","Region 2","North Coast","Higher Ed",146.8,150.7,116897
2020,"Napa","Education","General Fund","Region 2","North Coast","Adult Education",128.2,126,172274
2021,"Napa","Education","General Fund","Region 2","North Coast","Adult Education",134.4,147.4,241225
2022,"Napa","Education","General Fund","Region 2","North Coast","Adult Education",124.8,107.2,439258
2023,"Napa","Education","General Fund","Region 2","North Coast","Adult Education",129.6,124.4,323024
2024,"Napa","Education","General Fund","Region 2","North Coast","Higher Ed",107.5,119.4,156245
2020,"Sonoma","Education","General Fund","Region 2","North Coast","K-12",140.2,150,148545
2021,"Sonoma","Education","General Fund","Region 2","North Coast","K-12",89.5,101.2,404913
2022,"Sonoma","Education","General Fund","Region 2","North Coast","Adult Education",147,135.5,434400
2023,"Sonoma","Education","General Fund","Region 2","North Coast","K-12",149.9,168.4,228411
2024,"Sonoma","Education","General Fund","Region 2","North Coast","Higher Ed",133.2,135.9,197596
2020,"Trinity","Education","General Fund","Region 2","North Coast","Higher Ed",96.2,95.9,128937
2021,"Trinity","Education","General Fund","Region 2","North Coast","Adult Education",161.5,161.7,188470
2022,"Trinity","Education","General Fund","Region 2","North Coast","Higher Ed",177.1,173.4,186207
2023,"Trinity","Education","General Fund","Region 2","North Coast","K-12",105.3,104.9,90415
2024,"Trinity","Education","General Fund","Region 2","North Coast","Adult Education",116.2,112.6,331799
